site,date,time,enc,spp,band,l,r,sex,long,lat
TATEJUAMD1,2016-07-12,11:37,RST,NOCA,2641-63972,A/Y,P/P,M,,
TATEJUAMD1,2016-07-19,6:28,RSI,GRCA,2671-02006,?,W/A,,,
TATEJUAMD1,2016-07-19,6:44,RST,NOCA,2641-63972,A/Y,P/P,M,,
TATEJUAMD1,2016-08-07,8:07,RST,NOCA,2641-63972,A/Y,P/P,M,,
VERSBETMD1,2016-07-08,8:42,RST,CACH,?,A/BU?,?,,,
VERSBETMD1,2016-08-05,7:27,RSI,CACH,2690-95963,Y/W,A,,,
VERSBETMD1,2016-08-05,7:44,RST,CACH,2690-95963,Y/W,A,,,
VERSBETMD1,2016-08-28,7:15,RST,CACH,2690-95963,Y/W,A,,,
VONGJENMD1,2016-06-22,14:06,RST,GRCA,2421-11394,PK/BU,A,,,
VONGJENMD1,2016-06-22,14:06,RST,GRCA,2411-37406,PK/A,U,,,
VONGJENMD1,2016-06-29,6:12,RST,GRCA,2421-11394,PK/BU,A,,,
VONGJENMD1,2016-07-13,12:33,RST,CARW,2571-90100,O,A/O,,,
VONGJENMD1,2016-07-13,12:39,RST,HOWR,2810-03341,Y/A,Y,,,
VONGJENMD1,2016-07-13,12:40,RST,HOWR,2810-03340,O/P,A,,,
VONGJENMD1,2016-08-31,7:38,RST,GRCA,2421-11394,PK/BU,A,,,
VONGJENMD1,2016-08-31,7:48,RST,NOCA,2641-63901,U,W?Y?/A,M,,
WILLTERMD1,2016-06-29,10:44,RSI,NOCA,2411-37424,A,BK,M,,
WILLTERMD1,2016-06-29,11:28,RST,NOCA,2651-51823,?,A/O,M,,
WILLTERMD1,2016-06-29,11:28,RST,NOCA,2411-37424,A,BK,M,"""  ""","""  """
WILLTERMD1,2016-06-29,11:37,RST,HOWR,2750-64313,BK/G,A,,,
WILLTERMD1,2016-07-20,8:18,RST,NOCA,2651-51823,?,A/O,M,,
WILLTERMD1,2016-07-20,8:26,RST,CACH,2750-64319,A,PK,,,
WILLTERMD1,2016-07-20,8:28,RST,CACH,2750-64318,A,O,,SAME AS ABOVE?,
WILLTERMD1,2016-07-20,8:32,RST,CACH,2750-64318,A,P/O,,,
WILLTERMD1,2016-07-20,8:35,RST,NOCA,?,BK/W,A,F,,
WILLTERMD1,2016-07-20,8:35,RST,NOCA,2411-37424,A,BK,M,,
WILLTERMD1,2016-07-20,8:38,RST,SOSP,2711-77607,A,PK,,,
WILLTERMD1,2016-08-04,6:42,RST,SOSP,2711-77607,W/A,PK,,,
WILLTERMD1,2016-08-04,6:46,RST,NOCA,2651-51823,BK,A/O,,,
WILLTERMD1,2016-08-11,7:59,RST,SOSP,2711-77607,W/A,PK,,,
WILLTERMD1,2016-08-11,8:11,RST,NOCA,2651-51823,BK,A/O,,,
WOLFAMYDC1,2016-06-17,7:15,RST,GRCA,2651-56771,R/A,O,,,
WOLFAMYDC1,2016-07-28,10:11,RST,GRCA,2651-56771,R/A,O,,,
WOLFAMYDC1,2016-08-04,11:25,RST,GRCA,2651-56771,R/A,O,,,
WOLFAMYDC1,2016-08-12,6:27,RSI,CARW,2741-54640,G/W,A,,,
WOLFAMYDC1,2016-08-19,6:48,RST,GRCA,2651-56771,R/A,O,,,
WOLFKARDC1,2016-07-28,7:55,RST,SOSP,2661-31586,R/Y,A,,,
ZAMBTRAMD1,2016-06-08,9:58,RST,CARW,2541-40476,A,P/R,,,
ZAMBTRAMD1,2016-06-08,10:00,RST,AMRO,1272-43153,A,PK/G,,,
ZAMBTRAMD1,2016-06-15,6:27,RST,CARW,2541-40476,A,P/R,,,
ZAMBTRAMD1,2016-07-21,11:50,RSI,AMRO,1342-72986,A/O,PK,,,
ZAMBTRAMD1,2016-08-10,8:41,RST,AMRO,1272-43153,A,PK/G,,,
ZAMBTRAMD1,2016-08-10,8:43,RST,NOCA,791-17259,A/O,U,F,,
ZAMBTRAMD1,2016-08-10,8:47,RST,CARW,2541-40476,A,P/R,,,
