site,X,Y,can,imp
MUTRCYNMD2,307474,4317443,25.44126579,20.43038795
MYERBRUMD1,328276,4321418,55.19806449,8.725500652
NAYLMICMD2,344214,4352480,32.50878368,1.655834408
NEWBCARVA1,298157,4307076,92.1379243,0.000842028
NICHALIMD1,364362,4317613,66.43716362,2.783629189
OBRICHRMD1,333384,4320030,29.38057385,26.45563774
ODELVINMD2,366617,4327521,90.02316103,0.704427585
OLONMARDC1,319387,4313174,26.32744073,29.95876024
OMLAKEVMD1,349440,4286442,45.15685372,0
ONTAHOUDC1,322936,4310498,3.203243752,57.91625032
OWENDORVA1,291814,4302649,32.1710631,17.64838573
OWENJOHMD1,347921,4351480,11.58909768,18.68507375
PADORAMVA1,317303,4295052,47.60664292,15.11515326
PATSNADMD1,355230,4359677,13.59141357,33.80858844
PATTDAVMD1,363582,4349986,0.190508436,3.958908764
PERNMIKMD1,324265,4354263,84.41288656,0
PERRCHRMD1,365972,4319071,98.61435002,0
PHARAIMMD1,372731,4319742,83.85746467,0.654714774
PHELCLADC1,322012,4317015,26.13426678,25.48544671
PICKMARMD1,403283,4302440,81.71554363,0
PIROELADC1,319567,4314115,14.99615988,47.63817169
RAUNERIMD1,322425,4318439,24.59637514,26.7370503
RCP_SMBDC1,322518,4310510,55.98291227,8.724160087
REIKROBMD1,325095,4346372,47.38346355,0
REITBOBMD1,325018,4318076,26.15622598,20.05853178
REUTSHAMD1,359858,4349518,0,76.31685547
ROHRSALMD1,365212,4302381,61.16224778,0.463756779
ROTHPAUVA1,305970,4306831,34.92553858,12.17669574
RUSSJODMD1,338000,4335079,36.04148697,7.121773045
SALAJENMD1,311349,4326517,35.0728457,19.26997168
SALOSHEMD1,333475,4310460,44.62693072,19.82525979
SANFCARMD1,337719,4291768,65.16231369,4.114732694
SARGMARMD1,321825,4318253,48.78116745,14.45504671
SCHIMARMD1,317657,4330658,87.02215813,1.903996474
SCHLROBMD1,343311,4355528,60.11733485,0
SHAYSARMD1,357464,4340898,28.28864386,22.39095773
SHEEM.AMD1,331149,4314199,30.64845518,35.04978636
SILLSCOMD1,327497,4317136,18.83333056,36.37380132
SINGDADMD1,311032,4342440,4.310364074,0.460874871
SOLIAPRMD1,345773,4252896,15.7453168,0.108315702
SOLLCHRMD1,314443,4316070,71.35550341,4.540594746
SPEYPAUMD1,369488,4317583,47.97425445,4.222883357
STANJEFMD1,320823,4316281,63.17800932,3.963088948
STEWBETMD1,328233,4327865,43.13767455,10.65494417
STORPATMD1,337776,4343528,66.99783737,3.592852311
STUECHRVA1,312086,4309456,30.8725566,19.26188809
STUECHRVA2,312218,4309875,34.6713384,20.95810204
STURCARMD1,337773,4318787,52.33907446,34.19656587
SUBRSTEMD1,325496,4319004,75.03719503,3.386990995
SULLPAUVA1,317130,4299258,23.43987874,30.33154563
TATEJUAMD1,364342,4314095,41.28186902,15.26069222
TAYLELEVA1,316724,4308654,48.614775,8.695687282
THOMMARDC1,319274,4312772,23.97656584,26.255259
THOMSUSMD1,366757,4319339,97.12184844,0
TINIKATMD1,327767,4334258,47.3075021,3.895883609
TRAUPATVA1,300485,4319235,89.32393569,0.60139117
VERSBETMD1,361125,4287225,7.6317253,2.339798149
VONGJENMD1,315460,4320031,39.74295739,17.46857133
VOSSCOLVA1,302186,4308846,61.96467333,9.790757508
WALKPATVA1,297546,4284866,26.43494554,25.76488187
WAPLMILVA1,296664,4305640,12.5665147,13.2690161
WARDDOUVA1,318802,4305985,15.645433,39.20219137
WATSPATDC1,321132,4315049,37.8348554,12.43083404
WHITLAUDC1,319062,4289383,76.12255829,2.071186727
WIEBFRAMD1,325387,4316178,63.72725889,9.031746772
WIKACORMD1,371417,4318796,80.32010858,2.108181542
WILDANNVA1,318039,4307672,23.67714323,20.03061593
WILELINMD1,395012,4314101,21.94310089,7.756472862
WILLCYNVA1,308037,4305505,16.48897813,36.5838763
WILLRAJMD1,370543,4314424,11.59639976,18.15754291
