site,visit,species,count,distance,notes,collar
COLSKATMD1,6,squirrel,0,,,
COLSKATMD1,6,dog,0,,,
EGANMARMD1,1,cat,0,,,
EGANMARMD1,2,cat,0,,,
EGANMARMD1,3,cat,1,20,Mary,Y
EGANMARMD1,4,cat,0,,,
EGANMARMD1,5,cat,0,,,
EGANMARMD1,5,squirrel,0,,,
EGANMARMD1,5,dog,0,,,
EGANMARMD1,6,cat,0,,,
EGANMARMD1,6,squirrel,0,,,
EGANMARMD1,6,dog,0,,,
FARYSIMMD1,1,cat,0,,,
FARYSIMMD1,2,cat,0,,,
FARYSIMMD1,3,cat,0,,,
FARYSIMMD1,4,cat,0,,,
FARYSIMMD1,5,cat,1,28,Stan,N
FARYSIMMD1,5,squirrel,0,,,
FARYSIMMD1,5,dog,0,,,
FARYSIMMD1,6,cat,0,,,
FARYSIMMD1,6,squirrel,1,8,,
FARYSIMMD1,6,dog,0,,,
FISHFERVA1,1,cat,1,30,Frank,U
FISHFERVA1,2,cat,0,,,
FISHFERVA1,3,cat,0,,,
FISHFERVA1,3,squirrel,0,,,
FISHFERVA1,3,dog,0,,,
FISHFERVA1,4,cat,0,,,
FISHFERVA1,4,squirrel,0,,,
FISHFERVA1,4,dog,0,,,
FISHFERVA1,5,cat,0,,,
FISHFERVA1,5,squirrel,0,,,
FISHFERVA1,5,dog,0,,,
FISHFERVA1,6,cat,0,,,
FISHFERVA1,6,squirrel,1,6,,
FISHFERVA1,6,squirrel,1,8,,
FISHFERVA1,6,dog,1,21,,
FISHFERVA1,6,dog,1,21,,
FISHFERVA1,6,dog,1,8,,
GECACARVA1,1,cat,0,,,
GECACARVA1,2,cat,0,,,
GECACARVA1,3,cat,0,,,
GECACARVA1,4,cat,0,,,
GECACARVA1,5,cat,0,,,
GECACARVA1,5,squirrel,1,3,,
GECACARVA1,5,dog,0,,,
GECACARVA1,6,cat,0,,,
GECACARVA1,6,squirrel,1,7,,
GECACARVA1,6,squirrel,1,17,,
GECACARVA1,6,squirrel,1,30,,
GECACARVA1,6,dog,0,,,
GERYERIMD1,1,cat,0,,,
GERYERIMD1,2,cat,0,,,
GERYERIMD1,3,cat,0,,,
GERYERIMD1,4,cat,0,,,
GERYERIMD1,5,cat,0,,,
GERYERIMD1,5,squirrel,0,,,
GERYERIMD1,5,dog,1,30,,
GERYERIMD1,6,cat,1,40,Eric,U
GERYERIMD1,6,squirrel,0,,,
GERYERIMD1,6,dog,0,,,
JACOMERMD1,1,cat,0,,,
JACOMERMD1,2,cat,0,,,
JACOMERMD1,3,cat,0,,,
JACOMERMD1,3,squirrel,0,,,
JACOMERMD1,3,dog,0,,,
JACOMERMD1,4,cat,0,,,
JACOMERMD1,4,squirrel,5,,,
JACOMERMD1,4,dog,0,,,
JACOMERMD1,5,cat,0,,,
JACOMERMD1,5,squirrel,0,,,
JACOMERMD1,5,dog,0,,,
JACOMERMD1,6,cat,0,,,
JACOMERMD1,6,squirrel,0,,,
JACOMERMD1,6,dog,0,,,
KESTSABDC1,1,cat,0,,,
KESTSABDC1,2,cat,0,,,
KESTSABDC1,3,cat,0,,,
KESTSABDC1,3,squirrel,0,,,
KESTSABDC1,3,dog,0,,,
KESTSABDC1,4,cat,0,,,
KESTSABDC1,4,squirrel,1,5,,
KESTSABDC1,4,dog,0,,,
KESTSABDC1,5,cat,0,,,
KESTSABDC1,5,squirrel,0,,,
KESTSABDC1,5,dog,0,,,
KESTSABDC1,6,cat,0,,,
KESTSABDC1,6,squirrel,0,,,
KESTSABDC1,6,dog,1,20,,
KEYESUSMD1,1,cat,0,,,
KEYESUSMD1,2,cat,0,,,
KEYESUSMD1,3,cat,0,,,
KEYESUSMD1,3,squirrel,1,17,,
KEYESUSMD1,3,dog,0,,,
KEYESUSMD1,4,cat,0,,,
KEYESUSMD1,4,squirrel,0,,,
KEYESUSMD1,4,dog,0,,,
KEYESUSMD1,5,cat,0,,,
KEYESUSMD1,5,squirrel,0,,,
KEYESUSMD1,5,dog,0,,,
KEYESUSMD1,6,cat,0,,,
KEYESUSMD1,6,squirrel,0,,,
KEYESUSMD1,6,dog,0,,,
LANDCELVA1,1,cat,0,,,
LANDCELVA1,2,cat,0,,,
LANDCELVA1,3,cat,1,20,Chichi,U
LANDCELVA1,3,squirrel,0,,,
LANDCELVA1,3,dog,0,,,
LANDCELVA1,4,cat,0,,,
LANDCELVA1,4,squirrel,0,,,
LANDCELVA1,4,dog,0,,,
LANDCELVA1,5,cat,0,,,
LANDCELVA1,5,squirrel,0,,,
LANDCELVA1,5,dog,0,,,
LANDCELVA1,6,cat,0,,,
LANDCELVA1,6,squirrel,1,8,,
LANDCELVA1,6,dog,0,,,
LEONTESDC1,1,cat,0,,,
LEONTESDC1,2,cat,0,,,
LEONTESDC1,3,cat,0,,,
LEONTESDC1,3,squirrel,0,,,
LEONTESDC1,3,dog,0,,,
LEONTESDC1,4,cat,0,,,
LEONTESDC1,4,squirrel,0,,,
LEONTESDC1,4,dog,0,,,
LEONTESDC1,5,cat,0,,,
LEONTESDC1,5,squirrel,0,,,
LEONTESDC1,5,dog,1,18,,
LEONTESDC1,5,dog,1,18,,
LEONTESDC1,6,cat,1,1,Tara,Y
LEONTESDC1,6,squirrel,0,,,
LEONTESDC1,6,dog,0,,,
MANNJANDC1,1,cat,1,15,Clem,Y
MANNJANDC1,2,cat,0,,,
MANNJANDC1,3,cat,0,,,
MANNJANDC1,4,cat,0,,,
MANNJANDC1,5,cat,0,,,
MANNJANDC1,5,squirrel,0,,,
MANNJANDC1,5,dog,0,,,
MANNJANDC1,6,cat,0,,,
MANNJANDC1,6,squirrel,1,8,,
MANNJANDC1,6,dog,1,18,,
MCDOELIVA1,1,cat,0,,,
MCDOELIVA1,2,cat,0,,,
MCDOELIVA1,3,cat,0,,,
MCDOELIVA1,4,cat,0,,,
MCDOELIVA1,4,squirrel,0,,,
MCDOELIVA1,4,dog,0,,,
MCDOELIVA1,5,cat,0,,,
MCDOELIVA1,5,squirrel,0,,,
MCDOELIVA1,5,dog,0,,,
MCDOELIVA1,6,cat,0,,,
MCDOELIVA1,6,squirrel,0,,,
MCDOELIVA1,6,dog,0,,,
MISSEDDC1,1,cat,1,10,Edison,N
MISSEDDC1,2,cat,0,,,
MISSEDDC1,3,cat,0,,,
MISSEDDC1,3,squirrel,1,5,,
MISSEDDC1,3,dog,0,,,
MISSEDDC1,4,cat,0,,,
MISSEDDC1,4,squirrel,0,,,
MISSEDDC1,4,dog,1,10,,
MISSEDDC1,5,cat,0,,,
