site,date,day,tempHigh,tempLow,dewLow
BALASUCMD1,2016-06-29,1,82,68,55
BALASUCMD1,2016-06-30,2,84,65,53
BALASUCMD1,2016-07-01,3,88,71,66
BALASUCMD1,2016-07-02,4,80,70,50
BALASUCMD1,2016-07-03,5,74,64,54
BALASUCMD1,2016-07-04,6,74,68,65
BALASUCMD1,2016-07-05,7,91,74,70
BALASUCMD1,2016-07-15,8,94,76,62
BALASUCMD1,2016-07-16,9,93,72,66
BALASUCMD1,2016-07-17,10,93,71,61
BALASUCMD1,2016-07-18,11,95,73,66
BALASUCMD1,2016-07-19,12,92,70,63
BALASUCMD1,2016-07-20,13,89,70,59
BALASUCMD1,2016-07-21,14,90,71,62
BALASUCMD1,2016-08-16,15,97,75,72
BALASUCMD1,2016-08-17,16,95,72,68
BALASUCMD1,2016-08-18,17,92,74,67
BALASUCMD1,2016-08-19,18,92,74,60
BALASUCMD1,2016-08-20,19,91,74,62
BALASUCMD1,2016-08-21,20,91,74,62
BALASUCMD1,2016-08-22,21,85,69,56
BARBJERMD1,2016-06-24,1,86,71,67
BARBJERMD1,2016-06-25,2,85,72,57
BARBJERMD1,2016-06-26,3,86,66,49
BARBJERMD1,2016-06-27,4,87,68,62
BARBJERMD1,2016-06-28,5,87,69,64
BARBJERMD1,2016-06-29,6,82,68,55
BARBJERMD1,2016-06-30,7,84,65,53
BARBJERMD1,2016-07-12,8,87,73,62
BARBJERMD1,2016-07-13,9,90,75,68
BARBJERMD1,2016-07-14,10,98,75,68
BARBJERMD1,2016-07-15,11,94,76,62
BARBJERMD1,2016-07-16,12,93,72,66
BARBJERMD1,2016-07-17,13,93,71,61
BARBJERMD1,2016-07-18,14,95,73,66
BARBJERMD1,2016-08-23,15,84,67,56
BARBJERMD1,2016-08-24,16,86,67,60
BARBJERMD1,2016-08-25,17,89,71,63
BARBJERMD1,2016-08-26,18,95,77,65
BARBJERMD1,2016-08-27,19,92,77,68
BARBJERMD1,2016-08-28,20,90,74,59
BARBJERMD1,2016-08-29,21,94,72,66
BEALTOMMD1,2016-06-20,1,91,68,55
BEALTOMMD1,2016-06-21,2,91,72,61
BEALTOMMD1,2016-06-22,3,86,69,50
BEALTOMMD1,2016-06-23,4,82,70,67
BEALTOMMD1,2016-06-24,5,86,71,67
BEALTOMMD1,2016-06-25,6,85,72,57
BEALTOMMD1,2016-06-26,7,86,66,49
