"bandNumber","site","date"
"2510-03824","FISHFERVA1","2010-07-03"
"2510-03826","FISHFERVA1","2012-05-26"
"2510-03826","FISHFERVA1","2013-05-06"
"2510-04318","NEWBCARVA1","2008-07-11"
"2510-04327","PADORAMVA1","2008-06-23"
"2510-04327","PADORAMVA1","2010-07-01"
"2510-04328","PADORAMVA1","2008-06-23"
"2510-04393","BUISNORVA1","2015-04-27"
"2540-62806","BARBJERMD1","2009-07-13"
"2540-62828","KEYESUSMD1","2009-06-02"
"2540-62831","SALOSHEMD1","2008-06-22"
"2540-62888","CAMPGLOMD1","2010-05-21"
"2540-62888","CAMPGLOMD1","2012-06-06"
"2540-62888","CAMPGLOMD1","2016-07-14"
"2561-44905","MCDOELIVA1","2013-06-16"
"2561-44929","ONTAHOUDC1","2015-06-16"
"2570-44717","VERSBETMD1","2014-06-21"
"2570-44724","ROHRSALMD1","2015-04-22"
"2571-70354","BURDROBVA1","2015-06-01"
"2571-70362","BLOCDAVMD1","2015-07-15"
"2571-89947","PHARAIMMD1","2016-07-06"
"2571-90189","NEWBCARVA1","2015-06-22"
"2590-32307","SALOSHEMD1","2010-06-08"
"2590-82004","TATEJUAMD1","2013-07-08"
"2590-82181","ZAMBTRAMD1","2016-04-14"
"2590-82191","TATEJUAMD1","2014-06-19"
"2590-82193","TATEJUAMD1","2014-06-19"
"2590-82193","TATEJUAMD1","2015-06-17"
"2590-82308","VONGJENMD1","2010-05-10"
"2590-82319","STURCARMD1","2010-06-01"
"2590-82499","NEWBCARVA1","2012-05-19"
"2590-82504","SCHLROBMD1","2012-07-10"
"2590-82527","BURDROBVA1","2013-05-05"
"2590-82534","CAMPROSMD1","2012-05-19"
"2590-82567","MORRCHRVA1","2010-06-30"
"2590-82570","MORRCHRVA1","2013-03-15"
"2590-82609","BLOCDAVMD1","2010-07-07"
"2590-83036","COLSKATMD1","2015-06-06"
"2590-83065","BARBJERMD1","2015-06-19"
"2590-83167","KEYESUSMD1","2012-06-11"
"2590-83171","KEYESUSMD1","2014-07-26"
"2610-37317","SALOSHEMD1","2012-05-31"
"2610-37384","KEYESUSMD1","2016-05-16"
"2641-63303","GECACARVA1","2014-06-21"
"2641-63314","BURDROBVA1","2015-06-01"
"2641-63696","WILLTERMD1","2015-06-23"
"2641-63762","VONGJENMD1","2015-04-20"
"2641-63871","STUECHRVA2","2015-06-21"
"2641-63937","FARYSIMMD1","2014-06-30"
"2661-07922","BURDROBVA1","2014-06-26"
"2661-31527","PERRCHRMD1","2014-07-19"
"2661-31529","PERRCHRMD1","2016-06-29"
"2661-31565","MCDOELIVA1","2016-07-15"
"2661-31567","BEALTOMMD1","2016-05-12"
"2661-31569","LANDCELVA1","2016-07-09"
"2690-18941","FISHFERVA1","2014-06-23"
"2690-95954","COLSKATMD1","2015-06-06"
"2690-95954","COLSKATMD1","2016-05-07"
"2710-25933","STEWBETMD1","2014-05-05"
"2710-25944","MORRCHRVA1","2015-04-23"
"2710-53775","KEYESUSMD1","2016-05-16"
"2710-53817","BROWANNMD1","2016-06-17"
"2710-53904","NEWBCARVA1","2014-05-21"
"2710-53904","NEWBCARVA1","2015-06-22"
"2710-53968","LANDCELVA1","2015-06-20"
"2710-54306","TATEJUAMD1","2015-06-17"
"2711-77701","PIROELADC1","2016-06-26"
"2711-77706","MANNJANDC1","2016-06-21"
"2711-77710","MANNJANDC1","2016-06-21"
"2750-41386","BARBJERMD1","2016-06-03"
"2750-41391","MOSMCARMD1","2015-06-13"
"2750-64414","BURDROBVA1","2016-06-15"
"2750-64426","GECACARVA1","2016-06-25"
"4501-87456","WOLFKARDC1","2008-06-26"
"791-17033","ROHRSALMD1","2003-06-11"
"791-17732","PERRCHRMD1","2001-04-17"
"8001-21430","BEALTOMMD1","2009-05-22"
"962-47884","ONTAHOUDC1","2012-07-11"
"962-47921","ROHRSALMD1","2005-07-01"
