"bandNumber","site","date","age","sex","mass","wing","species"
"1272-43138","STEWBETMD1","2012-05-10","AHY","F",76.8,129,"AMRO"
"1272-43142","BLOCDAVMD1","2012-05-12","AHY","F",76.8,124,"AMRO"
"1272-43143","BLOCDAVMD1","2012-05-12","AHY","M",71.3,122,"AMRO"
"1272-43144","BLOCDAVMD1","2012-05-12","AHY","M",71.6,122,"AMRO"
"1272-43153","ZAMBTRAMD1","2012-05-23","AHY","M",69.8,121,"AMRO"
"1272-43154","ZAMBTRAMD1","2012-05-23","AHY","F",69.6,118,"AMRO"
"1272-43155","FISHFERVA1","2012-05-26","AHY","M",68.3,130,"AMRO"
"1272-43156","BURDROBVA1","2012-05-29","AHY","F",79.6,130,"AMRO"
"1272-43159","FARYSIMMD1","2012-06-08","AHY","M",71.3,125,"AMRO"
"1272-43160","FARYSIMMD1","2012-06-08","AHY","F",79.2,125,"AMRO"
"1272-43161","FARYSIMMD1","2012-06-08","AHY","F",81.1,123,"AMRO"
"1272-43162","KESTSABDC1","2012-06-16","AHY","M",71.2,130,"AMRO"
"1272-43170","BALASUCMD1","2013-07-23","HY","U",68.3,125,"AMRO"
"1272-43171","BALASUCMD1","2013-07-23","HY","U",72.3,128,"AMRO"
"1272-43172","BALASUCMD1","2013-07-23","HY","U",74.9,131,"AMRO"
"1272-43173","BALASUCMD1","2013-07-23","HY","U",68.6,126,"AMRO"
"1272-43183","GERYERIMD1","2014-04-14","AHY","M",68.9,127,"AMRO"
"1292-64201","MOSMCARMD1","2009-05-19","AHY","M",76.3,127,"AMRO"
"1292-64205","BURDROBVA1","2009-05-25","AHY","F",70.3,120,"AMRO"
"1292-64206","BURDROBVA1","2009-05-25","AHY","F",76.2,127,"AMRO"
"1292-64207","BURDROBVA1","2009-05-25","AHY","M",67.3,128,"AMRO"
"1292-64208","BURDROBVA1","2009-05-25","AHY","M",68.9,126,"AMRO"
"1292-64209","BURDROBVA1","2009-05-25","AHY","M",73.2,132,"AMRO"
"1292-64211","CAMPROSMD1","2009-05-29","AHY","F",77.5,127,"AMRO"
"1292-64212","CAMPROSMD1","2009-05-29","AHY","M",76.3,130,"AMRO"
"1292-64237","LEONTESDC1","2010-05-13","AHY","F",70.9,124.5,"AMRO"
"1292-64238","KESTSABDC1","2010-05-15","AHY","M",78,130,"AMRO"
"1292-64247","BUISNORVA1","2010-05-29","AHY","M",69.4,125,"AMRO"
"1292-64251","STUECHRVA2","2010-06-05","AHY","M",73.8,128,"AMRO"
"1292-64258","BURDROBVA1","2010-06-16","AHY","M",74.6,121,"AMRO"
"1292-64264","PADORAMVA1","2010-07-01","AHY","M",76.1,129,"AMRO"
"1292-64265","PADORAMVA1","2010-07-01","AHY","M",76.8,122,"AMRO"
"1292-64267","MCDOELIVA1","2010-07-17","AHY","M",72.9,127,"AMRO"
"1292-64276","WILLTERMD1","2012-05-24","HY","U",88.5,113,"AMRO"
"1292-64279","OBRICHRMD1","2012-06-02","AHY","F",75.1,121,"AMRO"
"1292-64280","CAMPGLOMD1","2012-06-06","AHY","F",79.8,124,"AMRO"
"1292-64281","CAMPGLOMD1","2012-06-06","HY","U",70.1,116,"AMRO"
"1292-64292","GERYERIMD1","2012-07-19","HY","U",76.2,121,"AMRO"
"1292-64323","LANDCELVA1","2009-06-20","AHY","M",73.8,130,"AMRO"
"1292-64324","LANDCELVA1","2009-06-20","AHY","F",86.8,129,"AMRO"
"1292-64325","LANDCELVA1","2009-06-20","AHY","M",73.8,120,"AMRO"
"1292-64326","LANDCELVA1","2009-06-20","AHY","M",75.9,127,"AMRO"
"1292-64328","ONTAHOUDC1","2009-06-26","AHY","F",70,123,"AMRO"
"1292-64335","BROWANNDC1","2009-06-30","HY","U",73.4,116.5,"AMRO"
"1292-64336","BROWANNDC1","2009-06-30","AHY","F",79.1,128,"AMRO"
"1292-64346","JACOMERMD1","2009-07-18","AHY","M",73.2,128,"AMRO"
"1292-64401","BALASUCMD1","2009-06-12","AHY","F",85.5,122,"AMRO"
"1292-64402","BALASUCMD1","2009-06-12","AHY","F",82.9,125,"AMRO"
"1292-64405","OBRICHRMD1","2009-06-30","AHY","M",NA,NA,"AMRO"
"1292-64406","OBRICHRMD1","2009-06-30","AHY","F",77.3,125,"AMRO"
"1292-64501","BRIGKIMMD1","2009-05-28","AHY","M",72.8,126,"AMRO"
"1292-64502","COLSKATMD1","2009-05-29","AHY","M",76,130,"AMRO"
"1292-64509","LEONTESDC1","2009-06-21","AHY","M",74.1,120,"AMRO"
"1292-64512","KESTSABDC1","2009-07-11","AHY","F",75.1,121,"AMRO"
"1292-64515","GERYERIMD1","2009-07-17","HY","U",75.9,121,"AMRO"
"1292-64516","REITBOBMD1","2009-07-28","HY","U",72.1,100,"AMRO"
"1292-64545","KESTSABDC1","2014-06-13","SY","F",NA,NA,"AMRO"
"1292-64546","KESTSABDC1","2014-06-13","AHY","F",80.6,121,"AMRO"
"1292-64547","STANJEFMD1","2014-06-16","SY","M",NA,NA,"AMRO"
"1292-64548","OLONMARDC1","2014-06-20","AHY","M",NA,NA,"AMRO"
"1292-64550","BRIGKIMMD1","2014-07-01","HY","U",NA,NA,"AMRO"
"1292-64551","BRIGKIMMD1","2014-07-01","SY","F",NA,NA,"AMRO"
"1292-64552","BRIGKIMMD1","2014-07-01","AHY","M",NA,NA,"AMRO"
"1292-64553","BRIGKIMMD1","2014-07-01","AHY","M",NA,NA,"AMRO"
"1292-64554","LANDCELVA1","2014-07-10","SY","M",NA,NA,"AMRO"
"1292-64557","BROWANNDC1","2014-07-18","HY","U",NA,NA,"AMRO"
"1292-64558","BROWANNMD1","2014-07-22","HY","U",NA,NA,"AMRO"
"1292-64559","BROWANNMD1","2014-07-22","HY","U",NA,NA,"AMRO"
"1292-64560","BROWANNMD1","2014-07-22","AHY","U",NA,NA,"AMRO"
"1292-64561","BROWANNMD1","2014-07-22","AHY","U",NA,NA,"NOMO"
"1292-64562","BROWANNMD1","2014-07-22","HY","U",NA,NA,"NOMO"
"1292-64572","FARYSIMMD1","2015-06-26","SY","M",72.8,125,"AMRO"
"1292-64573","CAMPROSMD1","2015-07-06","AHY","F",55,125,"AMRO"
"1292-64574","CAMPROSMD1","2015-07-06","AHY","M",71.3,123,"AMRO"
"1292-64575","CAMPROSMD1","2015-07-06","AHY","M",73.7,126,"AMRO"
"1292-64583","STEWBETMD1","2015-07-29","AHY","M",78.9,125,"AMRO"
"1342-72970","SILLSCOMD1","2013-07-02","HY","U",77.3,132,"AMRO"
"1342-72971","SILLSCOMD1","2013-07-02","AHY","F",81.2,125,"AMRO"
"1342-72977","BURDROBVA1","2015-06-01","AHY","F",76.6,122,"AMRO"
"1342-72978","BURDROBVA1","2015-06-01","AHY","M",65.8,123,"AMRO"
"1342-72981","MCDOELIVA1","2015-06-16","AHY","F",80.4,127,"AMRO"
"1342-72982","BROWANNMD1","2015-06-19","AHY","F",77,121,"AMRO"
"1342-72983","NEWBCARVA1","2015-06-22","AHY","F",78.4,120,"AMRO"
"1342-72986","ZAMBTRAMD1","2015-06-30","AHY","F",76.3,121,"AMRO"
"1342-72988","LEONTESDC1","2015-07-07","AHY","F",75,122,"AMRO"
"1342-74065","BROWANNMD1","2013-07-01","AHY","F",74.5,123,"AMRO"
"1342-74078","KESTSABDC1","2013-07-13","AHY","M",72.4,123,"AMRO"
"1342-74079","KESTSABDC1","2013-07-13","AHY","F",85.4,120,"AMRO"
"1342-74089","MCDOELIVA1","2013-06-16","SY","M",77.5,131,"AMRO"
"1342-74090","WOLFAMYDC1","2013-06-15","SY","M",82.1,124,"AMRO"
"1342-74092","ONTAHOUDC1","2013-06-08","AHY","F",47.7,110,"NOMO"
"1342-74093","ONTAHOUDC1","2013-06-08","HY","U",42.7,106,"NOMO"
"1342-74094","ONTAHOUDC1","2013-06-08","AHY","F",52.4,109,"NOMO"
"1342-74095","LEONTESDC1","2013-06-05","AHY","M",79.4,132,"AMRO"
"1352-45901","MOSMCARMD1","2013-07-29","HY","U",74.1,127,"AMRO"
"1352-46201","CAMPROSMD1","2014-06-09","AHY","M",86,133,"AMRO"
"1352-46202","CAMPROSMD1","2014-06-09","HY","U",75.5,119,"AMRO"
"1352-46203","VONGJENMD1","2014-06-14","AHY","F",71.1,116,"AMRO"
"1352-46212","BUISNORVA1","2014-06-24","AHY","M",71.4,119,"AMRO"
"1352-46213","CAMPGLOMD1","2014-06-26","AHY","M",75.3,127,"AMRO"
"1352-46214","JACOMERMD1","2014-06-27","AHY","M",79.1,128,"AMRO"
"1352-46230","STUECHRVA2","2015-06-21","SY","M",75.3,129,"AMRO"
"1352-46510","BALASUCMD1","2014-06-16","AHY","F",88,124,"AMRO"
"1352-46511","BALASUCMD1","2014-06-16","SY","M",75.6,135,"AMRO"
"1352-46512","BALASUCMD1","2014-06-16","HY","U",69.4,121,"AMRO"
"1352-46523","FARYSIMMD1","2014-06-30","AHY","F",37.9,96,"NOMO"
"1352-46574","MISSEDDC1","2015-07-06","HY","U",71.4,121,"AMRO"
"1352-46576","PADORAMVA1","2015-06-24","SY","F",74,116,"AMRO"
"1352-46590","KESTSABDC1","2015-05-02","AHY","M",49.4,108,"NOMO"
"1352-46591","KESTSABDC1","2015-05-02","AHY","F",81.4,131,"AMRO"
"1352-46592","KESTSABDC1","2015-05-02","AHY","M",71.1,132,"AMRO"
"1352-46593","KESTSABDC1","2015-05-02","AHY","F",NA,NA,"AMRO"
"1561-96297","PERRCHRMD1","2005-04-27","AHY","U",22.7,61.5,"CARW"
"1652-46211","BUISNORVA1","2014-06-24","AHY","F",89.4,123,"AMRO"
"1721-48501","STURCARMD1","2001-06-13","AHY","M",21,57.5,"CARW"
