"site","abund","SE","lower","upper","lon","lat","fips","can","imp","medianIncome","hDensity","age","marred","eduHS"
"BALASUCMD1",4.25858082025028,2.46882206412968,1.37220736569928,13.3170283091688,-76.9541990076624,39.0064682611147,24033807301,65.48449142,14.83659224,61146,0.000927946994909713,27.8,0.411591355599214,0.929236499068901
"BARBJERMD1",2.33776129277212,1.39663065857563,0.726321235341466,7.55315544527721,-76.4631086824912,39.113122209328,24003731303,38.09019673,14.53846335,107517,0.000375665121876874,46.4,0.69937106918239,0.944512195121951
"BEALTOMMD1",2.82649627069132,1.60259540546311,0.931137534313965,8.59503479575258,-76.7946731097776,38.974053618914,24033800408,65.96875845,8.157654453,109022,0.000645840821377436,37.3,0.53516933382955,0.940178991992463
"BLOCDAVMD1",12.1181556205522,6.34802113020063,4.34412736726117,33.8618666087315,-77.0045115539156,38.975700455311,24031701701,52.86125445,18.61439418,71958,0.00346310674188683,42.7,0.441256300891819,0.906848149723522
"BRIGKIMMD1",2.80697695828707,1.66226068691344,0.880965103492497,8.97578676725326,-76.5480222494896,39.1266584026691,24003731204,6.773998588,47.5602789,83274,0.000529413403478437,33.5,0.546155590836924,0.943603851444292
"BROWANNDC1",0.244752764709542,0.235055808862216,0.0659132331829987,476.057912004637,-77.0533363721153,38.9000573371157,11001005600,0.098821132,73.30393319,64446,0.0132550119078601,27.7,0.151646158962421,0.971167174937621
"BROWANNMD1",6.20739601253433,3.26514357061579,2.21637914987525,17.4228398087622,-76.4850169465092,38.9625652431145,24003706302,10.17267325,6.921703622,86964,0.00240920710054225,52.9,0.508565989847716,0.960632570659489
"BUISNORVA1",2.86316295976229,1.61268542762806,0.950742862524268,8.64901176634604,-77.264378567856,38.7415669519317,51059492202,74.63208501,3.421736318,183547,0.00117273892750162,44.7,0.723733233979136,0.958712541620422
"BURDROBVA1",3.22537540828609,1.80583786392537,1.07995037979033,9.69700107422017,-77.4181144800985,38.8651568521348,51059491502,18.32253748,26.95895614,187222,0.00118148080655065,40,0.717146671752813,0.942261619549593
"CAMPGLOMD1",6.13290217751249,3.31710449707601,2.12521282688903,17.7084996767489,-76.9287883268322,39.0623673050514,24033807407,43.02058961,10.51684714,86815,0.00107872519711002,32.6,0.474068231118123,0.872680291284942
"CAMPROSMD1",12.6158462158858,6.48154412968898,4.61118740444431,34.5500171710516,-77.0225525837239,39.0141959067996,24031702302,68.94950162,6.690999457,73367,0.00281705078839913,35.2,0.489185185185185,0.877454299255247
"CLARCOLDC1",0.191337358359241,0.20402208350801,0.0498997751034914,307.58715802195,-77.0475359868677,38.9197025156491,11001004001,2.679418486,63.33814942,106227,0.0130268057962465,38.4,0.29537802265075,0.985719030222517
"COLSKATMD1",2.62024787953351,1.50632100475296,0.851449287447201,8.10616249810967,-76.8442151599822,39.1565321514856,24027606804,55.65338119,14.05393675,114271,0.00108348812126646,38.3,0.650256006301694,0.988606485539001
"EGANMARMD1",3.14672548839623,1.81406677731647,1.01725059901382,9.74641362104057,-77.1096766185884,38.947608369891,24031705702,25.89846216,29.23324761,173646,0.00179392454304891,46.3,0.664333624963546,0.992058239576439
"FARYSIMMD1",6.45975912238807,3.37367879954628,2.32215937918927,17.9885900660194,-77.0176992560151,38.9889073104869,24031702401,20.51843583,37.24653924,128882,0.00264519948814912,42.7,0.593333333333333,0.946927374301676
"FISHFERVA1",2.57533275879742,1.61194881916609,0.769114108058537,8.97680349028239,-77.1318150347701,38.9128232508679,51013100300,33.96080522,16.41336765,226645,0.00139001772894157,41.5,0.611813512445674,0.9831867563373
"GECACARVA1",7.88203809472847,4.16811298023569,2.79800094331301,22.237730804539,-77.1225716009195,38.8847537966433,51013100700,27.43229868,26.20836622,88533,0.00315145965396496,35.5,0.555088088351302,0.955465587044534
"GERYERIMD1",5.09172669177675,2.85314969360968,1.69877954293225,15.2784578983853,-77.118616,38.999316,24031704600,21.482,32.225,146116,0.00278758506854264,40,0.621166415284062,0.983676975945017
"JACOMERMD1",3.94527485504965,2.07846823246104,1.40565966330058,11.0852320853619,-77.2043849507613,39.084150839967,24031701221,18.71693432,35.1344684,123643,0.00158077797274686,40.4,0.606440071556351,0.959651035986914
"KESTSABDC1",0.191337358359241,0.20402208350801,0.0498997751034914,307.58715802195,-77.0470599057996,38.9228013855518,11001004001,17.81358612,46.01769004,106227,0.0130268057962465,38.4,0.29537802265075,0.985719030222517
"KEYESUSMD1",1.53013090792951,0.981683853043412,0.436582986311924,5.39750725563049,-77.3079232199463,39.0903092861997,24031700604,64.01294036,1.348740725,172627,0.000157804327226614,45.6,0.745252253980433,0.964028776978417
"LANDCELVA1",4.34428369148327,2.29368576493122,1.54487424011745,12.2389848822668,-77.2409740980646,38.8821441310748,51059460600,38.44345769,16.06148664,151932,0.00145924514082316,41.3,0.59219968798752,0.928122819260293
"LEONTESDC1",7.18821126597403,4.51676898570074,2.10330401425726,24.6948122354941,-77.0569116510095,38.934828003419,11001001302,9.400422031,58.55267795,84758,0.0047934846278881,35.2,0.293337019629527,0.998441639395356
"MANNJANDC1",2.63743349724958,1.53138947981492,0.846717471391273,8.24601269079227,-77.0575403477092,38.9725246018463,11001001500,60.19210468,6.894112475,193233,0.0012943166355961,46.7,0.651242502142245,0.977546296296296
"MCDOELIVA1",15.2671772449518,8.09891060955605,5.40049664303307,43.203612427554,-77.0787779794571,38.7929788624742,51059420600,18.54713354,33.98009568,92292,0.00325951393315165,35.9,0.470069966312516,0.85875533862111
"MISSEDDC1",6.01712550922166,4.56081807609081,1.37974879250822,26.9481000990119,-76.996958,38.883588,11001007000,2.36,61.429,110192,0.00606115005952493,34.3,0.360669456066946,0.984039900249377
"MOLIKARMD1",3.13130277474321,1.82359559908896,1.00156160555721,9.81930262013109,-76.5350809983348,38.7039618017231,24009860401,8.527011599,36.94675413,85139,0.000540981780101032,36.5,0.507870430597112,0.926871552403467
"MORRCHRVA1",1.25567933192176,0.915835996129189,0.310867256684388,5.48134555715129,-77.2989499001777,39.0361218098143,51059480100,40.52244712,0.253957472,237656,0.000122611807140638,48.1,0.663575042158516,0.978835978835979
"MOSMCARMD1",2.60462687469938,1.54979398489541,0.813082294040024,8.37595422170594,-76.46771668999,39.0927183697406,24003731202,28.26881615,8.649559101,95029,0.000406236300174248,46.7,0.67585601404741,0.937092833876222
"NEWBCARVA1",1.51369693776337,0.971787882915821,0.430692461459461,5.33445593682428,-77.3272162411491,38.8893852637741,51059461201,92.1379243,0.000842028,191471,0.00045242590414026,45.3,0.755102040816326,0.98785046728972
"OBRICHRMD1",18.8097344802235,11.5911952788978,5.65469799621394,63.3176376879662,-76.924433,39.013183,24033806900,29.381,26.456,74977,0.00233923854114035,36,0.413595166163142,0.79812030075188
"OLONMARDC1",5.347984161833,3.12414138034777,1.70309317243565,16.8161817033072,-77.0839,38.949,11001001001,26.327,29.959,161450,0.00325784525072085,38.2,0.532118737238888,0.989613387189844
"ONTAHOUDC1",0.35249983102184,0.588463175986454,0.0564757521631616,159.197619178256,-77.0425825905497,38.9255468779107,11001003900,3.203243752,57.91625032,76563,0.0115004870856481,34,0.251689189189189,0.98580121703854
"PADORAMVA1",6.66237803666486,3.49654504818787,2.38290818230114,18.6450246145133,-77.1034207503836,38.7852933604881,51059420700,47.60664292,15.11515326,103071,0.00136285880455225,39.6,0.631733594515181,0.875763747454175
"PERRCHRMD1",1.67432250369675,1.05039494176329,0.490586769792542,5.73672591807775,-76.5480020347082,39.0104043301862,24003702702,98.61435002,0,133846,0.000268309211794368,50.9,0.733575437438098,0.972962680883473
"PHARAIMMD1",1.95266878636491,1.19925044814803,0.58765371062909,6.52517445073394,-76.4700864231309,39.0174585594387,24003730902,83.85746467,0.654714774,133333,0.000234863872589481,43.9,0.619517171030262,0.947833065810594
"PIROELADC1",5.55125874352239,2.95549424666656,1.95664189463648,15.7712476007483,-77.0823761439404,38.9574333758481,11001001100,14.99615988,47.63817169,121250,0.00254804119333263,47.5,0.488985586075605,0.968288177339901
"REITBOBMD1",13.6497570124151,7.63857804580623,4.56293908318275,40.9210598046247,-77.0205170238247,38.9942105859503,24031702402,26.15622598,20.05853178,67908,0.00443799863988456,35.6,0.354504756575266,0.906150919467343
"ROHRSALMD1",2.8671746621623,1.83182503682557,0.823443290573014,10.0719303999906,-76.5534926215145,38.8599418467417,24003701400,61.16224778,0.463756779,125304,6.49996626657194e-05,47.8,0.530943523841731,0.883748517200475
"SALOSHEMD1",4.31383577685156,2.26453409229965,1.54244121789322,12.0748502634916,-76.9210627714955,38.9272682853083,24033804200,44.62693072,19.82525979,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"SCHLROBMD1",2.07371983615004,1.30696906292701,0.60607760175348,7.16599791283193,-76.8180577266688,39.3349910870118,24005402202,60.11733485,0,112813,7.54482264288014e-05,45.1,0.677873338545739,0.932139491046183
"SILLSCOMD1",18.4737798061747,10.1509727724424,6.29767805315619,54.2755974123866,-76.9916708940604,38.986237126623,24031701703,18.83333056,36.37380132,82986,0.00337644811805869,34.9,0.502449265220434,0.838371624345022
"STANJEFMD1",2.97120865426888,1.95889064093538,0.850683437358005,11.4610654679854,-77.0684569247117,38.9771970222736,24031705200,63.17800932,3.963088948,240568,0.0018166108287384,44.3,0.710852713178295,0.991035410129987
"STEWBETMD1",6.27998776218477,3.43375100490471,2.15122000428827,18.3449767343063,-76.9858815872099,39.0830059795057,24031701415,43.13767455,10.65494417,97955,0.00106238531387353,44.1,0.531874704863844,0.864243614931238
"STUECHRVA2",2.8581508025265,1.64892970767979,0.923414178746839,8.86238327929868,-77.1659731557755,38.9177084431297,51059470700,34.6713384,20.95810204,163466,0.00157955072378179,42.7,0.636871508379888,0.994577006507592
"STURCARMD1",5.84665510217486,3.45570429134339,1.85789374717289,18.8752861956415,-76.8734802465547,39.0030714340265,24033806708,52.33907446,34.19656587,49804,0.00177545572009475,37.9,0.316078431372549,0.958702967268278
"TATEJUAMD1",2.54898906149961,1.50102931990929,0.804914293914988,8.09494613663253,-76.5658336701947,38.9653292292578,24003702402,41.28186902,15.26069222,97481,0.000494249450739073,49,0.573143285821455,0.947294869235376
"VERSBETMD1",2.34995516885733,1.48554283466731,0.684495545214537,8.15324320109057,-76.5975293813626,38.7227781827962,24003708001,7.6317253,2.339798149,93438,8.73524339187549e-05,46.3,0.580520732883317,0.923432089265102
"VONGJENMD1",2.35449368335393,1.39746628336585,0.736254725974566,7.54141998286692,-77.1313422998469,39.0098526330768,24031704502,39.74295739,17.46857133,184500,0.00124994246183618,44.3,0.71105527638191,0.992671927846674
"WILLTERMD1",4.31383577685156,2.26453409229965,1.54244121789322,12.0748502634916,-76.9176544071728,38.930063504868,24033804200,27.76305275,36.48290231,1e+05,0.00121031174189908,43.8,0.476020610384463,0.928249097472924
"WOLFAMYDC1",0.267511132287676,0.351763996187818,0.0623956811590669,236.170884132469,-77.043167,38.918567,11001004002,0,81.033,89868,0.0123642525223999,34.6,0.254725085910653,0.971998101566208
"WOLFKARDC1",7.18821126597403,4.51676898570074,2.10330401425726,24.6948122354941,-77.0618,38.941583,11001001302,5.22,48.631,84758,0.0047934846278881,35.2,0.293337019629527,0.998441639395356
"ZAMBTRAMD1",3.10487004898431,1.7348311491875,1.03894795678564,9.28548336128874,-77.0750031602788,38.9827751648912,24031705100,38.9206214,17.42568587,173092,0.00151775726292608,45.7,0.625303545410393,0.974764281752635
