"bandNumber","site","bandDate","age","sex","mass","wing","species","bandYear","bci","imp","can","imp2","can2","cCats","tCats","ch"
"1141-05743","SALOSHEMD1",2000-06-29,"U","M",21,62,"CARW",2000,-0.498960665359583,19.82525979,44.62693072,393.040925740991,1991.56294548768,0,0,"10110000000000000"
"1141-05782","VERSBETMD1",2001-04-26,"ASY","M",23.4,62,"CARW",2001,0.589440861503336,2.339798149,7.6317253,5.47465537806383,58.2432310546601,0,0,"01100000000000000"
"1141-05794","SCHLROBMD1",2001-05-15,"AHY","M",21.1,67.5,"SOSP",2001,-0.420024074404171,0,60.11733485,0,3614.09394946702,0.333333333333333,0,"01000000000000000"
"1141-05795","SCHLROBMD1",2001-05-15,"AHY","F",22.2,64,"SOSP",2001,1.25640131398133,0,60.11733485,0,3614.09394946702,0.333333333333333,0,"01000000000000000"
"1141-05796","ROHRSALMD1",2001-05-15,"AHY","M",22,60,"CARW",2001,0.673575710481198,0.463756779,61.16224778,0.215070350068455,3740.82055350212,1.33333333333333,0,"01100000000000000"
"1141-05800","FARYSIMMD1",2001-05-23,"AHY","M",21.8,69.5,"SOSP",2001,-0.569155407385189,37.24653924,20.51843583,1387.30468535686,421.006208909828,0.333333333333333,0.166666666666667,"01000000000000000"
"1152-47180","TATEJUAMD1",2002-07-18,"AHY","F",88.4,118,"AMRO",2002,2.96180206018627,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"00100000000000000"
"1152-87402","BEALTOMMD1",2001-04-18,"AHY","M",70.1,125,"AMRO",2001,-0.610234204722337,8.157654453,65.96875845,66.5473261745507,4351.87709143445,0.333333333333333,0,"01000000000000000"
"1152-87428","BARBJERMD1",2002-05-20,"AHY","F",73,125.5,"AMRO",2002,-0.30279988691481,14.53846335,38.09019673,211.366916579293,1450.8630869301,0,0.166666666666667,"00100000000000000"
"1152-87433","BRIGKIMMD1",2002-06-17,"AHY","F",74.4,121.5,"AMRO",2002,0.434783039829432,47.5602789,6.773998588,2261.98012904579,45.887056870226,0,0.5,"00100000000000000"
"1152-87434","BRIGKIMMD1",2002-06-17,"AHY","M",68.1,126,"AMRO",2002,-0.989918668318962,47.5602789,6.773998588,2261.98012904579,45.887056870226,0,0.5,"00100000000000000"
"1152-87487","BROWANNDC1",2003-09-22,"AHY","U",54.3,101,"NOMO",2003,2.82781427301246,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00010000000000000"
"1152-87488","BROWANNDC1",2003-09-22,"AHY","U",45.9,103,"NOMO",2003,0.452439382869904,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00010000000000000"
"1152-87501","BROWANNDC1",2003-06-14,"AHY","M",77.8,123,"AMRO",2003,0.669700544071706,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00010000000000000"
"1152-87502","BROWANNDC1",2003-06-14,"AHY","M",81.4,130,"AMRO",2003,0.144634530779748,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00011100000000000"
"1152-87503","ONTAHOUDC1",2003-06-13,"AHY","F",47.9,108,"NOMO",2003,-0.133488553968311,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00010000000000000"
"1152-87505","STURCARMD1",2003-06-02,"AHY","F",74.1,123.5,"AMRO",2003,0.109773540660574,34.19656587,52.33907446,1169.40511730125,2739.37871532942,0.333333333333333,0.166666666666667,"00010000000000000"
"1152-87515","ONTAHOUDC1",2003-05-20,"AHY","M",74.3,136,"AMRO",2003,-1.39049794714684,57.91625032,3.203243752,3354.2920511289,10.260770534727,0.333333333333333,0,"00010000000000000"
"1152-87516","OBRICHRMD1",2003-05-19,"AHY","M",65.1,126,"AMRO",2003,-1.37071440464901,26.456,29.381,699.919936,863.243161,0.333333333333333,1.5,"00011000000000000"
"1152-87520","BRIGKIMMD1",2003-05-10,"AHY","F",67.2,125,"AMRO",2003,-0.983541883282068,47.5602789,6.773998588,2261.98012904579,45.887056870226,0,0.5,"00010000000000000"
"1152-87521","BRIGKIMMD1",2003-05-10,"AHY","F",85.2,125,"AMRO",2003,1.33354025950247,47.5602789,6.773998588,2261.98012904579,45.887056870226,0,0.5,"00010000000000000"
"1152-87527","BROWANNDC1",2002-04-17,"AHY","F",54.2,109,"NOMO",2002,0.911561555165285,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00100000000000000"
"1152-87528","BROWANNDC1",2002-04-17,"AHY","M",49.2,109,"NOMO",2002,-0.0670519829094869,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"00111000000000000"
"1152-87529","BARBJERMD1",2001-07-13,"SY","F",48.6,106.5,"NOMO",2001,0.303059706507958,14.53846335,38.09019673,211.366916579293,1450.8630869301,0,0.166666666666667,"01000000000000000"
"1152-87530","BROWANNDC1",2001-06-26,"AHY","F",81.2,128.5,"AMRO",2001,0.322154801597193,73.30393319,0.098821132,5373.46662112398,0.00976561612976143,0,0,"01101000000000000"
"1152-87532","BARBJERMD1",2001-06-08,"SY","M",49.8,112,"NOMO",2001,-0.503367650403218,14.53846335,38.09019673,211.366916579293,1450.8630869301,0,0.166666666666667,"01100000000000000"
"1152-87534","TATEJUAMD1",2001-05-16,"AHY","F",NA,NA,"AMRO",2001,NA,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"01110000000000000"
"1202-99036","STANJEFMD1",2008-06-11,"AHY","M",68.5,124,"AMRO",2008,-0.690501048463831,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000100000000"
"1202-99037","STANJEFMD1",2008-06-11,"AHY","M",78.5,130,"AMRO",2008,-0.203743695264395,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000100000000"
"1202-99038","STANJEFMD1",2008-06-11,"AHY","F",80.1,125,"AMRO",2008,0.677033652380181,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000100000000"
"1202-99039","STANJEFMD1",2008-06-11,"AHY","M",74.6,125,"AMRO",2008,-0.0309636690262041,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000100000000"
"1202-99041","TATEJUAMD1",2008-06-14,"HY","U",73.3,121.5,"AMRO",2008,0.285916891776683,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"00000000111000000"
"1202-99042","TATEJUAMD1",2008-06-14,"AHY","M",71,122,"AMRO",2008,-0.0946345465772787,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"00000000111000110"
"1202-99043","TATEJUAMD1",2008-06-14,"AHY","M",69.5,121,"AMRO",2008,-0.15975057444309,15.26069222,41.28186902,232.888727033569,1704.19270978444,1,0.166666666666667,"00000000100000000"
"1202-99059","STANJEFMD1",2009-05-07,NA,NA,NA,NA,"AMRO",2009,NA,3.963088948,63.17800932,15.7060740097597,3991.46086163801,0.333333333333333,0,"00000000010000000"
"1202-99060","PERRCHRMD1",2009-05-08,"AHY","M",73,122,"AMRO",2009,0.174079462899728,0,98.61435002,0,9724.79002986707,0,0,"00000000010000000"
"1202-99061","PERRCHRMD1",2009-05-08,"AHY","M",62,127,"AMRO",2009,-1.87307244101308,0,98.61435002,0,9724.79002986707,0,0,"00000000010000000"
